Id,Usage,SeqIdx,Level,PredictionString
27,Private,MAVLab:00001,medium,0.19166666 0.3 2.0 0.38 0.21388888 2.0 0.455 0.48333332 2.0 0.28833333 0.61388886 2.0
28,Private,Boston_Images:00221,medium,0.4654696 0.22460938 2.0 0.5870166 0.044921875 2.0 0.93370163 0.26953125 2.0 0.6685083 0.37304688 2.0
29,Private,Boston_Images:00018,easy,0.61928105 0.40429688 2.0 0.8594771 0.27148438 2.0 0.9403595 0.703125 2.0 0.64542484 0.6660156 2.0
30,Public,Boston_Images:00023,medium,0.052287582 0.6035156 2.0 0.16911764 0.625 2.0 0.14624183 0.75390625 2.0 0.013888889 0.75390625 2.0 0.36928105 0.5283203 2.0 0.4746732 0.5810547 2.0 0.4746732 0.7763672 2.0 0.35212418 0.7998047 2.0
31,Private,Austin1:00019,hard,0.61333334 0.375 2.0 0.8566667 0.37222221 2.0 0.88166666 0.7861111 2.0 0.62166667 0.7916667 2.0 0.52 0.5611111 2.0 0.5466667 0.5638889 2.0 0.5466667 0.6388889 2.0 0.52 0.64166665 2.0 0.28666666 0.57222223 2.0 0.30166668 0.5777778 2.0 0.3 0.65 2.0 0.28333333 0.6527778 2.0
32,Private,Boston_Images:00071,medium,0.6658497 0.29492188 2.0 0.7883987 0.3623047 2.0 0.82761437 0.5761719 2.0 0.6960784 0.5625 2.0
33,Private,WashingtonOB:00030,hard,0.63166666 0.41944444 2.0 0.8233333 0.3361111 2.0 0.87666667 0.675 2.0 0.66 0.7083333 2.0 0.6666667 0.5361111 2.0 0.73333335 0.51666665 2.0 0.745 0.62222224 2.0 0.67833334 0.63611114 2.0
34,Private,Boston_Images:00062,easy,0.40931374 0.32421875 2.0 0.71732026 0.38867188 2.0 0.6830065 0.78222656 2.0 0.34232026 0.7060547 2.0
35,Public,Boston_Images:00008,medium,0.12908497 0.5234375 2.0 0.22957516 0.5390625 2.0 0.21977124 0.6513672 2.0 0.111928105 0.65234375 2.0 0.39624184 0.41601562 2.0 0.501634 0.47265625 2.0 0.50898695 0.65234375 2.0 0.39215687 0.6542969 2.0
36,Public,Boston_Images:00196,easy,0.25571895 0.296875 2.0 0.53513074 0.41210938 2.0 0.49101308 0.75878906 2.0 0.1380719 0.6953125 2.0
37,Private,WashingtonOB:00020,easy,0.07333333 0.20833333 2.0 0.25833333 0.25277779 2.0 0.27833334 0.49166667 2.0 0.11 0.53333336 2.0
38,Private,WashingtonMobile:00035,easy,0.64505494 0.5341797 2.0 0.77692306 0.4091797 2.0 0.87362635 0.7890625 2.0 0.71648353 0.84375 2.0
39,Private,Boston_Images:00116,hard,0.38978493 0.09863281 2.0 0.53494626 0.11621094 2.0 0.48118278 0.22167969 2.0 0.35080644 0.20605469 2.0 0.5403226 0.030273438 2.0 0.85349464 0.08496094 2.0 0.69489247 0.3017578 2.0 0.43817204 0.25878906 2.0
40,Private,Boston_Images:00175,hard,0.15931372 0.31054688 2.0 0.43055555 0.35058594 2.0 0.43055555 0.63964844 2.0 0.14787582 0.67089844 2.0 0.75816995 0.41015625 2.0 0.8308824 0.42578125 2.0 0.84313726 0.5830078 2.0 0.76960784 0.59472656 2.0 0.48202613 0.48535156 2.0 0.54738563 0.48632812 2.0 0.5498366 0.5751953 2.0 0.48284313 0.5800781 2.0
41,Private,WashingtonOBNewLight2:00025,medium,0.40666667 0.42777777 2.0 0.515 0.32222223 2.0 0.57666665 0.53333336 2.0 0.465 0.6166667 2.0 0.5733333 0.3611111 2.0 0.62666667 0.31666666 2.0 0.655 0.4138889 2.0 0.6 0.45555556 2.0
42,Private,Boston_Images:00069,medium,0.57843137 0.38964844 2.0 0.85702616 0.19824219 2.0 0.996732 0.73046875 2.0 0.62091506 0.69628906 2.0
43,Public,WashingtonOBNewLight2:00008,hard,0.12166667 0.14722222 2.0 0.34666666 0.072222225 2.0 0.30333334 0.7583333 2.0 0.09166667 0.6472222 2.0 0.56166667 0.45 2.0 0.61 0.44166666 2.0 0.605 0.57222223 2.0 0.555 0.5638889 2.0 0.7583333 0.49722221 2.0 0.8066667 0.50277776 2.0 0.8016667 0.5861111 2.0 0.755 0.58055556 2.0
44,Public,Austin1:00029,medium,0.13084112 0.44166666 2.0 0.317757 0.45555556 2.0 0.2990654 0.7222222 2.0 0.10093458 0.71666664 2.0 0.73457944 0.57222223 2.0 0.7925234 0.57222223 2.0 0.7925234 0.6666667 2.0 0.73457944 0.6611111 2.0
45,Private,WashingtonOB:00022,medium,0.285 0.21388888 2.0 0.40833333 0.23888889 2.0 0.43333334 0.4611111 2.0 0.32166666 0.50277776 2.0 0.008333334 0.43055555 2.0 0.10333333 0.40833333 2.0 0.12666667 0.53055555 2.0 0.031666666 0.5694444 2.0
46,Private,Boston_Images:00037,medium,0.097222224 0.5185547 2.0 0.16584967 0.5488281 2.0 0.16421568 0.7011719 2.0 0.09477124 0.7216797 2.0 0.6683006 0.41210938 2.0 0.8080065 0.4169922 2.0 0.85375816 0.6201172 2.0 0.7099673 0.6484375 2.0
47,Public,WashingtonMobile:00037,medium,0.25494507 0.2685547 2.0 0.5197802 0.13476562 2.0 0.55714285 0.8515625 2.0 0.2791209 0.82910156 2.0 0.72472525 0.4267578 2.0 0.80274725 0.3984375 2.0 0.817033 0.6123047 2.0 0.73626375 0.61328125 2.0
48,Private,OrlandoOB:00008,hard,0.31944445 0.575 2.0 0.50555557 0.65555555 2.0 0.43611112 0.8388889 2.0 0.24444444 0.76944447 2.0 0.3472222 0.63055557 2.0 0.42222223 0.65833336 2.0 0.39444444 0.74444443 2.0 0.31666666 0.7138889 2.0 0.45 0.66944444 2.0 0.50555557 0.69722223 2.0 0.4861111 0.74444443 2.0 0.43055555 0.71944445 2.0
49,Private,Austin1:00027,easy,0.30617285 0.475 2.0 0.46419752 0.49444443 2.0 0.42962962 0.6861111 2.0 0.26666668 0.6611111 2.0
50,Private,Boston_Images:00101,hard,0.6813725 0.4794922 2.0 0.73120916 0.40527344 2.0 0.7622549 0.6953125 2.0 0.6985294 0.67285156 2.0
51,Private,Boston_Images:00485,hard,0.58905226 0.06933594 2.0 0.6625817 0.043945312 2.0 0.75653595 0.17480469 2.0 0.7083333 0.22949219 2.0 0.041666668 0.5673828 2.0 0.114379086 0.6035156 2.0 0.2254902 0.75097656 2.0 0.20588236 0.7832031 2.0
52,Private,WashingtonMobile:00008,medium,0.27151898 0.032226562 2.0 0.6291139 0.17480469 2.0 0.636076 0.8066406 2.0 0.27405062 0.9238281 2.0 0.056962024 0.47460938 2.0 0.14620253 0.47265625 2.0 0.14873418 0.60839844 2.0 0.056329112 0.6123047 2.0
53,Private,Boston_Images:00115,easy,0.07854406 0.5234375 2.0 0.22126436 0.54003906 2.0 0.21072797 0.6826172 2.0 0.052681994 0.6826172 2.0
54,Private,Boston_Images:00111,easy,0.21078432 0.33398438 2.0 0.498366 0.45996094 2.0 0.42892158 0.828125 2.0 0.052287582 0.7451172 2.0
55,Public,Austin1:00020,easy,0.10333333 0.30555555 2.0 0.25333333 0.37777779 2.0 0.21666667 0.5861111 2.0 0.055 0.53333336 2.0
56,Private,Austin1:00031,hard,0.115 0.475 2.0 0.22666667 0.50555557 2.0 0.20833333 0.65833336 2.0 0.08833333 0.65 2.0 0.31333333 0.5833333 2.0 0.35 0.5861111 2.0 0.345 0.6638889 2.0 0.30833334 0.65833336 2.0 0.44833332 0.6166667 2.0 0.47 0.6166667 2.0 0.46833333 0.6638889 2.0 0.44666666 0.6638889 2.0
57,Private,Boston_Images:00213,easy,0.48856208 0.17578125 2.0 0.6895425 0.3388672 2.0 0.5874183 0.5908203 2.0 0.36928105 0.5048828 2.0
58,Public,Boston_Images:00052,medium,0.114379086 0.16601562 2.0 0.2009804 0.3046875 2.0 0.2254902 0.56640625 2.0 0.15849674 0.6484375 2.0 0.6944444 0.3251953 2.0 0.82761437 0.2734375 2.0 0.8316994 0.48339844 2.0 0.6985294 0.47851562 2.0
59,Private,MAVLab:00053,easy,0.44 0.41111112 2.0 0.6566667 0.325 2.0 0.68833333 0.80277777 2.0 0.44333333 0.7777778 2.0
60,Public,Boston_Images:00033,hard,0.119281046 0.37695312 2.0 0.16584967 0.4404297 2.0 0.16176471 0.6142578 2.0 0.1127451 0.6269531 2.0 0.7630719 0.33984375 2.0 0.85457516 0.36132812 2.0 0.88480395 0.5410156 2.0 0.79493463 0.55859375 2.0
61,Public,Austin1:00016,easy,0.20166667 0.35 2.0 0.34166667 0.44444445 2.0 0.305 0.6638889 2.0 0.14333333 0.62777776 2.0
62,Private,WashingtonOB:00001,medium,0.17666666 0.64444447 2.0 0.28833333 0.64166665 2.0 0.285 0.825 2.0 0.16166666 0.84166664 2.0
63,Public,Austin1:00012,easy,0.46517414 0.42222223 2.0 0.73134327 0.4138889 2.0 0.76865673 0.725 2.0 0.49253732 0.74444443 2.0
64,Private,Austin1:00034,medium,0.415 0.5 2.0 0.47666666 0.50277776 2.0 0.475 0.60833335 2.0 0.41166666 0.60833335 2.0 0.635 0.3861111 2.0 0.82 0.3888889 2.0 0.82666665 0.7027778 2.0 0.63166666 0.68333334 2.0
65,Public,Boston_Images:00031,hard,0.09150327 0.061523438 2.0 0.21323529 0.103515625 2.0 0.18382353 0.28320312 2.0 0.073529415 0.23632812 2.0 0.5245098 0.21679688 2.0 0.6870915 0.29101562 2.0 0.61601305 0.47753906 2.0 0.46568626 0.40527344 2.0 0.51960784 0.29003906 2.0 0.5882353 0.32226562 2.0 0.5604575 0.4091797 2.0 0.49264705 0.37597656 2.0
66,Private,WashingtonMobile:00033,medium,0.17307693 0.06542969 2.0 0.31263736 0.14746094 2.0 0.22582418 0.5048828 2.0 0.09615385 0.38378906 2.0 0.54175824 0.45507812 2.0 0.62582415 0.5107422 2.0 0.5857143 0.68066406 2.0 0.50329673 0.61035156 2.0
67,Private,MAVLab:00020,medium,0.465 0.19444445 2.0 0.62666667 0.28333333 2.0 0.59 0.5611111 2.0 0.42166665 0.5 2.0
68,Private,Austin1:00028,easy,0.30024213 0.4722222 2.0 0.46973366 0.4861111 2.0 0.44067797 0.69166666 2.0 0.26634383 0.6722222 2.0
69,Private,Boston_Images:00073,easy,0.5424837 0.09472656 2.0 0.75735295 0.16308594 2.0 0.7630719 0.45996094 2.0 0.5571895 0.484375 2.0
70,Private,Austin1:00022,easy,0.61333334 0.46388888 2.0 0.81333333 0.39722222 2.0 0.855 0.7916667 2.0 0.6333333 0.7638889 2.0
71,Private,Boston_Images:00084,easy,0.621732 0.3798828 2.0 0.875 0.38378906 2.0 0.9183006 0.7001953 2.0 0.63235295 0.6923828 2.0
72,Private,Boston_Images:00057,medium,0.44827586 0.6455078 2.0 0.5839822 0.58691406 2.0 0.7096774 0.70996094 2.0 0.61290324 0.8183594 2.0
73,Private,Boston_Images:00016,easy,0.11363637 0.2763672 2.0 0.36713287 0.13867188 2.0 0.4597902 0.5390625 2.0 0.1993007 0.5986328 2.0
74,Private,WashingtonOBNewLight2:00030,medium,0.38 0.34166667 2.0 0.51666665 0.23333333 2.0 0.57 0.48333332 2.0 0.43333334 0.5694444 2.0 0.52 0.33888888 2.0 0.57666665 0.30277777 2.0 0.605 0.4027778 2.0 0.5466667 0.44166666 2.0
75,Private,Boston_Images:00120,hard,0.45506537 0.08496094 2.0 0.5383987 0.12695312 2.0 0.47712418 0.26367188 2.0 0.40767974 0.2109375 2.0 0.77042484 0.34179688 2.0 0.84477127 0.3935547 2.0 0.78513074 0.47558594 2.0 0.71895427 0.42285156 2.0 0.8047386 0.27539062 2.0 0.97794116 0.390625 2.0 0.8357843 0.55859375 2.0 0.6960784 0.43945312 2.0
76,Private,WashingtonOBNewLight2:00012,medium,0.55 0.24444444 2.0 0.62 0.23333333 2.0 0.6066667 0.41666666 2.0 0.545 0.4 2.0 0.79333335 0.29722223 2.0 0.865 0.29722223 2.0 0.85333335 0.4138889 2.0 0.7816667 0.4027778 2.0
77,Public,Austin1:00002,easy,0.7266667 0.48055556 2.0 0.87333333 0.42222223 2.0 0.90833336 0.6944444 2.0 0.74833333 0.69166666 2.0
78,Private,WashingtonMobile:00016,medium,0.17747253 0.087890625 2.0 0.6505495 0.034179688 2.0 0.66923076 0.91796875 2.0 0.1901099 0.9199219 2.0 0.5043956 0.4091797 2.0 0.6318681 0.39746094 2.0 0.63516486 0.625 2.0 0.5082418 0.6308594 2.0
79,Private,Boston_Images:00176,easy,0.666106 0.3017578 2.0 0.7964676 0.37695312 2.0 0.7863751 0.6015625 2.0 0.6425568 0.5839844 2.0
80,Private,WashingtonMobile:00039,hard,0.2747253 0.19628906 2.0 0.48296702 0.23242188 2.0 0.44285715 0.6660156 2.0 0.23846154 0.5878906 2.0 0.55054945 0.4326172 2.0 0.61318684 0.4404297 2.0 0.59835166 0.6074219 2.0 0.53736264 0.5810547 2.0 0.8 0.52734375 2.0 0.86483514 0.5419922 2.0 0.85384613 0.67285156 2.0 0.7879121 0.6484375 2.0
81,Public,Boston_Images:00198,hard,0.6617647 0.24804688 2.0 0.90849674 0.34472656 2.0 0.8480392 0.6855469 2.0 0.5972222 0.6660156 2.0 0.35866013 0.37109375 2.0 0.36437908 0.38476562 2.0 0.35212418 0.48339844 2.0 0.34232026 0.49316406 2.0
82,Private,WashingtonOB:00007,medium,0.21833333 0.38333333 2.0 0.34666666 0.45 2.0 0.28166667 0.7222222 2.0 0.14666666 0.625 2.0
83,Private,Boston_Images:00255,easy,0.2777778 0.3984375 2.0 0.42075163 0.36132812 2.0 0.40931374 0.64746094 2.0 0.2638889 0.6191406 2.0
84,Public,Boston_Images:00795,hard,0.08415033 0.31152344 2.0 0.21568628 0.3310547 2.0 0.19934641 0.49609375 2.0 0.066176474 0.4765625 2.0 0.5138889 0.3779297 2.0 0.64705884 0.40429688 2.0 0.628268 0.55859375 2.0 0.49754903 0.5439453 2.0 0.45343137 0.42382812 2.0 0.52042484 0.43652344 2.0 0.5130719 0.5175781 2.0 0.44526145 0.5058594 2.0
85,Private,Boston_Images:00077,medium,0.5383987 0.05078125 2.0 0.90686274 0.1640625 2.0 0.9705882 0.6357422 2.0 0.51797384 0.6308594 2.0
86,Private,Austin1:00007,easy,0.16 0.37222221 2.0 0.30666667 0.44444445 2.0 0.28333333 0.6722222 2.0 0.12 0.68333334 2.0
87,Private,Boston_Images:00123,medium,0.097222224 0.3466797 2.0 0.14297386 0.38964844 2.0 0.11764706 0.5234375 2.0 0.060457516 0.52246094 2.0
88,Private,Boston_Images:00012,easy,0.2254902 0.4169922 2.0 0.4248366 0.42382812 2.0 0.43055555 0.6503906 2.0 0.21732026 0.6689453 2.0
89,Public,Boston_Images:00060,medium,0.2001634 0.44140625 2.0 0.28839868 0.47753906 2.0 0.25653595 0.5810547 2.0 0.16503268 0.54589844 2.0 0.21078432 0.32910156 2.0 0.4125817 0.4345703 2.0 0.3488562 0.6660156 2.0 0.116830066 0.59765625 2.0
90,Private,WashingtonOB:00029,hard,0.7183333 0.5972222 2.0 0.83 0.58055556 2.0 0.8566667 0.7777778 2.0 0.72833335 0.7777778 2.0 0.615 0.65555555 2.0 0.66333336 0.65555555 2.0 0.66833335 0.7361111 2.0 0.61833334 0.7416667 2.0
91,Public,WashingtonMobile:00019,easy,0.4664835 0.24316406 2.0 0.62417585 0.25 2.0 0.61978024 0.53222656 2.0 0.4642857 0.53027344 2.0
92,Private,WashingtonOB:00024,medium,0.42 0.7027778 2.0 0.5183333 0.7583333 2.0 0.46166667 0.99722224 2.0 0.36666667 0.9 2.0
93,Private,Boston_Images:00239,easy,0.39950982 0.27929688 2.0 0.6356209 0.42285156 2.0 0.6102941 0.7558594 2.0 0.2851307 0.671875 2.0
94,Private,Boston_Images:00755,hard,0.624183 0.43652344 2.0 0.877451 0.45410156 2.0 0.84150326 0.78125 2.0 0.5825163 0.6796875 2.0 0.30800653 0.42871094 2.0 0.36764705 0.4296875 2.0 0.33333334 0.5703125 2.0 0.2761438 0.5498047 2.0 0.6397059 0.55078125 2.0 0.6625817 0.5654297 2.0 0.6495098 0.6513672 2.0 0.622549 0.6464844 2.0
